
---------- Begin Simulation Statistics ----------
simSeconds                                   0.063931                       # Number of seconds simulated (Second)
simTicks                                  63931191000                       # Number of ticks simulated (Tick)
finalTick                                 63931191000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   4023.07                       # Real time elapsed on the host (Second)
hostTickRate                                 15891154                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    1633520                       # Number of bytes of host memory used (Byte)
simInsts                                    348309988                       # Number of instructions simulated (Count)
simOps                                      518878492                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    86578                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     128976                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu0.numCycles                       107632327                       # Number of cpu cycles simulated (Cycle)
system.cpu0.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu0.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu0.instsAdded                      163009391                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu0.nonSpecInstsAdded                     885                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu0.instsIssued                     155826742                       # Number of instructions issued (Count)
system.cpu0.squashedInstsIssued                   739                       # Number of squashed instructions issued (Count)
system.cpu0.squashedInstsExamined            44364797                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu0.squashedOperandsExamined         29629645                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu0.squashedNonSpecRemoved                117                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu0.numIssuedDist::samples          106564256                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::mean              1.462280                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::stdev             2.260649                       # Number of insts issued each cycle (Count)
system.cpu2.statFuBusy::SimdAesMix                  0      0.00%     71.13% # attempts to use FU when none available (Count)
system.cpu2.statFuBusy::SimdSha1Hash                0      0.00%     71.13% # attempts to use FU when none available (Count)
system.cpu2.statFuBusy::SimdSha1Hash2               0      0.00%     71.13% # attempts to use FU when none available (Count)
system.cpu2.statFuBusy::SimdSha256Hash              0      0.00%     71.13% # attempts to use FU when none available (Count)
system.cpu2.statFuBusy::SimdSha256Hash2             0      0.00%     71.13% # attempts to use FU when none available (Count)
system.cpu2.statFuBusy::SimdShaSigma2               0      0.00%     71.13% # attempts to use FU when none available (Count)
system.cpu2.statFuBusy::SimdShaSigma3               0      0.00%     71.13% # attempts to use FU when none available (Count)
system.cpu2.statFuBusy::SimdPredAlu                 0      0.00%     71.13% # attempts to use FU when none available (Count)
system.cpu2.statFuBusy::Matrix                      0      0.00%     71.13% # attempts to use FU when none available (Count)
system.cpu2.statFuBusy::MatrixMov                   0      0.00%     71.13% # attempts to use FU when none available (Count)
system.cpu2.statFuBusy::MatrixOP                    0      0.00%     71.13% # attempts to use FU when none available (Count)
system.cpu2.statFuBusy::MemRead                   996     16.81%     87.95% # attempts to use FU when none available (Count)
system.cpu2.statFuBusy::MemWrite                  597     10.08%     98.02% # attempts to use FU when none available (Count)
system.cpu2.statFuBusy::FloatMemRead               57      0.96%     98.99% # attempts to use FU when none available (Count)
system.cpu2.statFuBusy::FloatMemWrite              60      1.01%    100.00% # attempts to use FU when none available (Count)
system.cpu2.statFuBusy::IprAccess                   0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu2.statFuBusy::InstPrefetch                0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu2.statIssuedInstType_0::No_OpClass         6895      0.79%      0.79% # Number of instructions issued per FU type, per thread (Count)
system.cpu2.statIssuedInstType_0::IntAlu       540338     61.64%     62.42% # Number of instructions issued per FU type, per thread (Count)
system.cpu2.statIssuedInstType_0::IntMult           24      0.00%     62.42% # Number of instructions issued per FU type, per thread (Count)
system.cpu2.statIssuedInstType_0::IntDiv         1814      0.21%     62.63% # Number of instructions issued per FU type, per thread (Count)
system.cpu2.statIssuedInstType_0::FloatAdd        57547      6.56%     69.20% # Number of instructions issued per FU type, per thread (Count)
system.cpu2.statIssuedInstType_0::FloatCmp            0      0.00%     69.20% # Number of instructions issued per FU type, per thread (Count)
system.cpu2.statIssuedInstType_0::FloatCvt           32      0.00%     69.20% # Number of instructions issued per FU type, per thread (Count)
system.cpu2.statIssuedInstType_0::FloatMult            0      0.00%     69.20% # Number of instructions issued per FU type, per thread (Count)
system.cpu2.statIssuedInstType_0::FloatMultAcc            0      0.00%     69.20% # Number of instructions issued per FU type, per thread (Count)
system.cpu2.statIssuedInstType_0::FloatDiv            0      0.00%     69.20% # Number of instructions issued per FU type, per thread (Count)
system.cpu2.statIssuedInstType_0::FloatMisc            0      0.00%     69.20% # Number of instructions issued per FU type, per thread (Count)
system.cpu2.statIssuedInstType_0::FloatSqrt            0      0.00%     69.20% # Number of instructions issued per FU type, per thread (Count)
system.cpu2.statIssuedInstType_0::SimdAdd          760      0.09%     69.29% # Number of instructions issued per FU type, per thread (Count)
system.cpu2.statIssuedInstType_0::SimdAddAcc            0      0.00%     69.29% # Number of instructions issued per FU type, per thread (Count)
system.cpu2.statIssuedInstType_0::SimdAlu        15430      1.76%     71.05% # Number of instructions issued per FU type, per thread (Count)
system.cpu2.statIssuedInstType_0::SimdCmp            0      0.00%     71.05% # Number of instructions issued per FU type, per thread (Count)
system.cpu2.statIssuedInstType_0::SimdCvt         1965      0.22%     71.27% # Number of instructions issued per FU type, per thread (Count)
system.cpu2.statIssuedInstType_0::SimdMisc         5678      0.65%     71.92% # Number of instructions issued per FU type, per thread (Count)
system.cpu2.statIssuedInstType_0::SimdMult            0      0.00%     71.92% # Number of instructions issued per FU type, per thread (Count)
system.cpu2.statIssuedInstType_0::SimdMultAcc            0      0.00%     71.92% # Number of instructions issued per FU type, per thread (Count)
system.cpu2.statIssuedInstType_0::SimdShift          605      0.07%     71.99% # Number of instructions issued per FU type, per thread (Count)
system.cpu2.statIssuedInstType_0::SimdShiftAcc            0      0.00%     71.99% # Number of instructions issued per FU type, per thread (Count)
system.cpu2.statIssuedInstType_0::SimdDiv            0      0.00%     71.99% # Number of instructions issued per FU type, per thread (Count)
system.cpu2.statIssuedInstType_0::SimdSqrt            0      0.00%     71.99% # Number of instructions issued per FU type, per thread (Count)
system.cpu2.statIssuedInstType_0::SimdFloatAdd        34349      3.92%     75.91% # Number of instructions issued per FU type, per thread (Count)
system.cpu2.statIssuedInstType_0::SimdFloatAlu            0      0.00%     75.91% # Number of instructions issued per FU type, per thread (Count)
system.cpu2.statIssuedInstType_0::SimdFloatCmp            0      0.00%     75.91% # Number of instructions issued per FU type, per thread (Count)
system.cpu2.statIssuedInstType_0::SimdFloatCvt         5482      0.63%     76.53% # Number of instructions issued per FU type, per thread (Count)
system.cpu2.statIssuedInstType_0::SimdFloatDiv            5      0.00%     76.53% # Number of instructions issued per FU type, per thread (Count)
system.cpu2.statIssuedInstType_0::SimdFloatMisc            0      0.00%     76.53% # Number of instructions issued per FU type, per thread (Count)
system.cpu2.statIssuedInstType_0::SimdFloatMult        20020      2.28%     78.81% # Number of instructions issued per FU type, per thread (Count)
system.cpu2.statIssuedInstType_0::SimdFloatMultAcc            0      0.00%     78.81% # Number of instructions issued per FU type, per thread (Count)
system.cpu2.statIssuedInstType_0::SimdFloatSqrt            0      0.00%     78.81% # Number of instructions issued per FU type, per thread (Count)
system.cpu2.statIssuedInstType_0::SimdReduceAdd            0      0.00%     78.81% # Number of instructions issued per FU type, per thread (Count)
system.cpu2.statIssuedInstType_0::SimdReduceAlu            0      0.00%     78.81% # Number of instructions issued per FU type, per thread (Count)
system.cpu2.statIssuedInstType_0::SimdReduceCmp            0      0.00%     78.81% # Number of instructions issued per FU type, per thread (Count)
system.cpu2.statIssuedInstType_0::SimdFloatReduceAdd            0      0.00%     78.81% # Number of instructions issued per FU type, per thread (Count)
system.cpu2.statIssuedInstType_0::SimdFloatReduceCmp            0      0.00%     78.81% # Number of instructions issued per FU type, per thread (Count)
system.cpu2.statIssuedInstType_0::SimdAes            0      0.00%     78.81% # Number of instructions issued per FU type, per thread (Count)
system.cpu2.statIssuedInstType_0::SimdAesMix            0      0.00%     78.81% # Number of instructions issued per FU type, per thread (Count)
system.cpu2.statIssuedInstType_0::SimdSha1Hash            0      0.00%     78.81% # Number of instructions issued per FU type, per thread (Count)
system.cpu2.statIssuedInstType_0::SimdSha1Hash2            0      0.00%     78.81% # Number of instructions issued per FU type, per thread (Count)
system.cpu2.statIssuedInstType_0::SimdSha256Hash            0      0.00%     78.81% # Number of instructions issued per FU type, per thread (Count)
system.cpu2.statIssuedInstType_0::SimdSha256Hash2            0      0.00%     78.81% # Number of instructions issued per FU type, per thread (Count)
system.cpu2.statIssuedInstType_0::SimdShaSigma2            0      0.00%     78.81% # Number of instructions issued per FU type, per thread (Count)
system.cpu2.statIssuedInstType_0::SimdShaSigma3            0      0.00%     78.81% # Number of instructions issued per FU type, per thread (Count)
system.cpu2.statIssuedInstType_0::SimdPredAlu            0      0.00%     78.81% # Number of instructions issued per FU type, per thread (Count)
system.cpu2.statIssuedInstType_0::Matrix            0      0.00%     78.81% # Number of instructions issued per FU type, per thread (Count)
system.cpu2.statIssuedInstType_0::MatrixMov            0      0.00%     78.81% # Number of instructions issued per FU type, per thread (Count)
system.cpu2.statIssuedInstType_0::MatrixOP            0      0.00%     78.81% # Number of instructions issued per FU type, per thread (Count)
system.cpu2.statIssuedInstType_0::MemRead       101441     11.57%     90.39% # Number of instructions issued per FU type, per thread (Count)
system.cpu2.statIssuedInstType_0::MemWrite        28662      3.27%     93.66% # Number of instructions issued per FU type, per thread (Count)
system.cpu2.statIssuedInstType_0::FloatMemRead        49494      5.65%     99.30% # Number of instructions issued per FU type, per thread (Count)
system.cpu2.statIssuedInstType_0::FloatMemWrite         6129      0.70%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu2.statIssuedInstType_0::IprAccess            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu2.statIssuedInstType_0::InstPrefetch            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu2.statIssuedInstType_0::total        876670                       # Number of instructions issued per FU type, per thread (Count)
system.cpu2.issueRate                        1.083043                       # Inst issue rate ((Count/Cycle))
system.cpu2.fuBusy                               5924                       # FU busy when requested (Count)
system.cpu2.fuBusyRate                       0.006757                       # FU busy rate (busy events/executed inst) ((Count/Count))
system.cpu2.intInstQueueReads                 1870246                       # Number of integer instruction queue reads (Count)
system.cpu2.intInstQueueWrites                 824416                       # Number of integer instruction queue writes (Count)
system.cpu2.intInstQueueWakeupAccesses         638012                       # Number of integer instruction queue wakeup accesses (Count)
system.cpu2.fpInstQueueReads                   454838                       # Number of floating instruction queue reads (Count)
system.cpu2.fpInstQueueWrites                  248959                       # Number of floating instruction queue writes (Count)
system.cpu2.fpInstQueueWakeupAccesses          224592                       # Number of floating instruction queue wakeup accesses (Count)
system.cpu2.vecInstQueueReads                       0                       # Number of vector instruction queue reads (Count)
system.cpu2.vecInstQueueWrites                      0                       # Number of vector instruction queue writes (Count)
system.cpu2.vecInstQueueWakeupAccesses              0                       # Number of vector instruction queue wakeup accesses (Count)
system.cpu2.intAluAccesses                     648005                       # Number of integer alu accesses (Count)
system.cpu2.fpAluAccesses                      227694                       # Number of floating point alu accesses (Count)
system.cpu2.vecAluAccesses                          0                       # Number of vector alu accesses (Count)
system.cpu2.numInsts                           870228                       # Number of executed instructions (Count)
system.cpu2.numLoadInsts                       149429                       # Number of load instructions executed (Count)
system.cpu2.numSquashedInsts                     6442                       # Number of squashed instructions skipped in execute (Count)
system.cpu2.numSwp                                  0                       # Number of swp insts executed (Count)
system.cpu2.numNop                                  0                       # Number of nop insts executed (Count)
system.cpu2.numRefs                            183708                       # Number of memory reference insts executed (Count)
system.cpu2.numBranches                         46726                       # Number of branches executed (Count)
system.cpu2.numStoreInsts                       34279                       # Number of stores executed (Count)
system.cpu2.numRate                          1.075084                       # Inst execution rate ((Count/Cycle))
system.cpu2.timesIdled                           1538                       # Number of times that the entire CPU went into an idle state and unscheduled itself (Count)
system.cpu2.idleCycles                         244273                       # Total number of cycles that the CPU has spent unscheduled due to idling (Cycle)
system.cpu2.committedInsts                     463966                       # Number of Instructions Simulated (Count)
system.cpu2.committedOps                       773036                       # Number of Ops (including micro ops) Simulated (Count)
system.cpu2.cpi                              1.744634                       # CPI: Cycles Per Instruction ((Cycle/Count))
system.cpu2.totalCpi                         1.744634                       # CPI: Total CPI of All Threads ((Cycle/Count))
system.cpu2.ipc                              0.573186                       # IPC: Instructions Per Cycle ((Count/Cycle))
system.cpu2.totalIpc                         0.573186                       # IPC: Total IPC of All Threads ((Count/Cycle))
system.cpu2.intRegfileReads                    865068                       # Number of integer regfile reads (Count)
system.cpu2.intRegfileWrites                   535785                       # Number of integer regfile writes (Count)
system.cpu2.fpRegfileReads                     285878                       # Number of floating regfile reads (Count)
system.cpu2.fpRegfileWrites                    212124                       # Number of floating regfile writes (Count)
system.cpu2.ccRegfileReads                     248534                       # number of cc regfile reads (Count)
system.cpu2.ccRegfileWrites                    243957                       # number of cc regfile writes (Count)
system.cpu2.miscRegfileReads                   327045                       # number of misc regfile reads (Count)
system.cpu2.miscRegfileWrites                      18                       # number of misc regfile writes (Count)
system.cpu2.MemDepUnit__0.insertedLoads        152599                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu2.MemDepUnit__0.insertedStores        37238                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu2.MemDepUnit__0.conflictingLoads        12433                       # Number of conflicting loads. (Count)
system.cpu2.MemDepUnit__0.conflictingStores          631                       # Number of conflicting stores. (Count)
system.cpu2.MemDepUnit__1.insertedLoads             0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu2.MemDepUnit__1.insertedStores            0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu2.MemDepUnit__1.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu2.MemDepUnit__1.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu2.MemDepUnit__2.insertedLoads             0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu2.MemDepUnit__2.insertedStores            0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu2.MemDepUnit__2.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu2.MemDepUnit__2.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu2.MemDepUnit__3.insertedLoads             0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu2.MemDepUnit__3.insertedStores            0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu2.MemDepUnit__3.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu2.MemDepUnit__3.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu2.branchPred.lookups                  61303                       # Number of BP lookups (Count)
system.cpu2.branchPred.condPredicted            47470                       # Number of conditional branches predicted (Count)
system.cpu2.branchPred.condIncorrect             3611                       # Number of conditional branches incorrect (Count)
system.cpu2.branchPred.BTBLookups               25882                       # Number of BTB lookups (Count)
system.cpu2.branchPred.BTBUpdates                2397                       # Number of BTB updates (Count)
system.cpu2.branchPred.BTBHits                  24015                       # Number of BTB hits (Count)
system.cpu2.branchPred.BTBHitRatio           0.927865                       # BTB Hit Ratio (Ratio)
system.cpu2.branchPred.RASUsed                   3515                       # Number of times the RAS was used to get a target. (Count)
system.cpu2.branchPred.RASIncorrect                 7                       # Number of incorrect RAS predictions. (Count)
system.cpu2.branchPred.indirectLookups           2831                       # Number of indirect predictor lookups. (Count)
system.cpu2.branchPred.indirectHits              1809                       # Number of indirect target hits. (Count)
system.cpu2.branchPred.indirectMisses            1022                       # Number of indirect misses. (Count)
system.cpu2.branchPred.indirectMispredicted          372                       # Number of mispredicted indirect branches. (Count)
system.cpu2.commit.commitSquashedInsts         148364                       # The number of squashed insts skipped by commit (Count)
system.cpu2.commit.commitNonSpecStalls             72                       # The number of times commit has been forced to stall to communicate backwards (Count)
system.cpu2.commit.branchMispredicts             3599                       # The number of times a branch was mispredicted (Count)
system.cpu2.commit.numCommittedDist::samples       543576                       # Number of insts commited each cycle (Count)
system.cpu2.commit.numCommittedDist::mean     1.422130                       # Number of insts commited each cycle (Count)
system.cpu2.commit.numCommittedDist::stdev     2.710541                       # Number of insts commited each cycle (Count)
system.cpu2.commit.numCommittedDist::underflows            0      0.00%      0.00% # Number of insts commited each cycle (Count)
system.cpu2.commit.numCommittedDist::0         385090     70.84%     70.84% # Number of insts commited each cycle (Count)
system.cpu2.commit.numCommittedDist::1          32876      6.05%     76.89% # Number of insts commited each cycle (Count)
system.cpu2.commit.numCommittedDist::2          16145      2.97%     79.86% # Number of insts commited each cycle (Count)
system.cpu2.commit.numCommittedDist::3          15311      2.82%     82.68% # Number of insts commited each cycle (Count)
system.cpu2.commit.numCommittedDist::4           8556      1.57%     84.25% # Number of insts commited each cycle (Count)
system.cpu2.commit.numCommittedDist::5          14833      2.73%     86.98% # Number of insts commited each cycle (Count)
system.cpu2.commit.numCommittedDist::6           4833      0.89%     87.87% # Number of insts commited each cycle (Count)
system.cpu2.commit.numCommittedDist::7           2906      0.53%     88.41% # Number of insts commited each cycle (Count)
system.cpu2.commit.numCommittedDist::8          63026     11.59%    100.00% # Number of insts commited each cycle (Count)
system.cpu2.commit.numCommittedDist::overflows            0      0.00%    100.00% # Number of insts commited each cycle (Count)
system.cpu2.commit.numCommittedDist::min_value            0                       # Number of insts commited each cycle (Count)
system.cpu2.commit.numCommittedDist::max_value            8                       # Number of insts commited each cycle (Count)
system.cpu2.commit.numCommittedDist::total       543576                       # Number of insts commited each cycle (Count)
system.cpu2.commit.instsCommitted              463966                       # Number of instructions committed (Count)
system.cpu2.commit.opsCommitted                773036                       # Number of ops (including micro ops) committed (Count)
system.cpu2.commit.memRefs                     160057                       # Number of memory references committed (Count)
system.cpu2.commit.loads                       130777                       # Number of loads committed (Count)
system.cpu2.commit.amos                             0                       # Number of atomic instructions committed (Count)
system.cpu2.commit.membars                         36                       # Number of memory barriers committed (Count)
system.cpu2.commit.branches                     41130                       # Number of branches committed (Count)
system.cpu2.commit.vectorInstructions               0                       # Number of committed Vector instructions. (Count)
system.cpu2.commit.floating                    215603                       # Number of committed floating point instructions. (Count)
system.cpu2.commit.integer                     608367                       # Number of committed integer instructions. (Count)
system.cpu2.commit.functionCalls                 2579                       # Number of function calls committed. (Count)
system.cpu2.commit.committedInstType_0::No_OpClass         4575      0.59%      0.59% # Class of committed instruction (Count)
system.cpu2.commit.committedInstType_0::IntAlu       471211     60.96%     61.55% # Class of committed instruction (Count)
system.cpu2.commit.committedInstType_0::IntMult           18      0.00%     61.55% # Class of committed instruction (Count)
system.cpu2.commit.committedInstType_0::IntDiv         1601      0.21%     61.76% # Class of committed instruction (Count)
system.cpu2.commit.committedInstType_0::FloatAdd        55144      7.13%     68.89% # Class of committed instruction (Count)
system.cpu2.commit.committedInstType_0::FloatCmp            0      0.00%     68.89% # Class of committed instruction (Count)
system.cpu2.commit.committedInstType_0::FloatCvt           32      0.00%     68.89% # Class of committed instruction (Count)
system.cpu2.commit.committedInstType_0::FloatMult            0      0.00%     68.89% # Class of committed instruction (Count)
system.cpu2.commit.committedInstType_0::FloatMultAcc            0      0.00%     68.89% # Class of committed instruction (Count)
system.cpu2.commit.committedInstType_0::FloatDiv            0      0.00%     68.89% # Class of committed instruction (Count)
system.cpu2.commit.committedInstType_0::FloatMisc            0      0.00%     68.89% # Class of committed instruction (Count)
system.cpu2.commit.committedInstType_0::FloatSqrt            0      0.00%     68.89% # Class of committed instruction (Count)
system.cpu2.commit.committedInstType_0::SimdAdd          506      0.07%     68.96% # Class of committed instruction (Count)
system.cpu2.commit.committedInstType_0::SimdAddAcc            0      0.00%     68.96% # Class of committed instruction (Count)
system.cpu2.commit.committedInstType_0::SimdAlu        13764      1.78%     70.74% # Class of committed instruction (Count)
system.cpu2.commit.committedInstType_0::SimdCmp            0      0.00%     70.74% # Class of committed instruction (Count)
system.cpu2.commit.committedInstType_0::SimdCvt         1184      0.15%     70.89% # Class of committed instruction (Count)
system.cpu2.commit.committedInstType_0::SimdMisc         5278      0.68%     71.58% # Class of committed instruction (Count)
system.cpu2.commit.committedInstType_0::SimdMult            0      0.00%     71.58% # Class of committed instruction (Count)
system.cpu2.commit.committedInstType_0::SimdMultAcc            0      0.00%     71.58% # Class of committed instruction (Count)
system.cpu2.commit.committedInstType_0::SimdShift          278      0.04%     71.61% # Class of committed instruction (Count)
system.cpu2.commit.committedInstType_0::SimdShiftAcc            0      0.00%     71.61% # Class of committed instruction (Count)
system.cpu2.commit.committedInstType_0::SimdDiv            0      0.00%     71.61% # Class of committed instruction (Count)
system.cpu2.commit.committedInstType_0::SimdSqrt            0      0.00%     71.61% # Class of committed instruction (Count)
system.cpu2.commit.committedInstType_0::SimdFloatAdd        34198      4.42%     76.04% # Class of committed instruction (Count)
system.cpu2.commit.committedInstType_0::SimdFloatAlu            0      0.00%     76.04% # Class of committed instruction (Count)
system.cpu2.commit.committedInstType_0::SimdFloatCmp            0      0.00%     76.04% # Class of committed instruction (Count)
system.cpu2.commit.committedInstType_0::SimdFloatCvt         5274      0.68%     76.72% # Class of committed instruction (Count)
system.cpu2.commit.committedInstType_0::SimdFloatDiv            4      0.00%     76.72% # Class of committed instruction (Count)
system.cpu2.commit.committedInstType_0::SimdFloatMisc            0      0.00%     76.72% # Class of committed instruction (Count)
system.cpu2.commit.committedInstType_0::SimdFloatMult        19912      2.58%     79.30% # Class of committed instruction (Count)
system.cpu2.commit.committedInstType_0::SimdFloatMultAcc            0      0.00%     79.30% # Class of committed instruction (Count)
system.cpu2.commit.committedInstType_0::SimdFloatSqrt            0      0.00%     79.30% # Class of committed instruction (Count)
system.cpu2.commit.committedInstType_0::SimdReduceAdd            0      0.00%     79.30% # Class of committed instruction (Count)
system.cpu2.commit.committedInstType_0::SimdReduceAlu            0      0.00%     79.30% # Class of committed instruction (Count)
system.cpu2.commit.committedInstType_0::SimdReduceCmp            0      0.00%     79.30% # Class of committed instruction (Count)
system.cpu2.commit.committedInstType_0::SimdFloatReduceAdd            0      0.00%     79.30% # Class of committed instruction (Count)
system.cpu2.commit.committedInstType_0::SimdFloatReduceCmp            0      0.00%     79.30% # Class of committed instruction (Count)
system.cpu2.commit.committedInstType_0::SimdAes            0      0.00%     79.30% # Class of committed instruction (Count)
system.cpu2.commit.committedInstType_0::SimdAesMix            0      0.00%     79.30% # Class of committed instruction (Count)
system.cpu2.commit.committedInstType_0::SimdSha1Hash            0      0.00%     79.30% # Class of committed instruction (Count)
system.cpu2.commit.committedInstType_0::SimdSha1Hash2            0      0.00%     79.30% # Class of committed instruction (Count)
system.cpu2.commit.committedInstType_0::SimdSha256Hash            0      0.00%     79.30% # Class of committed instruction (Count)
system.cpu2.commit.committedInstType_0::SimdSha256Hash2            0      0.00%     79.30% # Class of committed instruction (Count)
system.cpu2.commit.committedInstType_0::SimdShaSigma2            0      0.00%     79.30% # Class of committed instruction (Count)
system.cpu2.commit.committedInstType_0::SimdShaSigma3            0      0.00%     79.30% # Class of committed instruction (Count)
system.cpu2.commit.committedInstType_0::SimdPredAlu            0      0.00%     79.30% # Class of committed instruction (Count)
system.cpu2.commit.committedInstType_0::Matrix            0      0.00%     79.30% # Class of committed instruction (Count)
system.cpu2.commit.committedInstType_0::MatrixMov            0      0.00%     79.30% # Class of committed instruction (Count)
system.cpu2.commit.committedInstType_0::MatrixOP            0      0.00%     79.30% # Class of committed instruction (Count)
system.cpu2.commit.committedInstType_0::MemRead        85098     11.01%     90.30% # Class of committed instruction (Count)
system.cpu2.commit.committedInstType_0::MemWrite        23492      3.04%     93.34% # Class of committed instruction (Count)
system.cpu2.commit.committedInstType_0::FloatMemRead        45679      5.91%     99.25% # Class of committed instruction (Count)
system.cpu2.commit.committedInstType_0::FloatMemWrite         5788      0.75%    100.00% # Class of committed instruction (Count)
system.cpu2.commit.committedInstType_0::IprAccess            0      0.00%    100.00% # Class of committed instruction (Count)
system.cpu2.commit.committedInstType_0::InstPrefetch            0      0.00%    100.00% # Class of committed instruction (Count)
system.cpu2.commit.committedInstType_0::total       773036                       # Class of committed instruction (Count)
system.cpu2.commit.commitEligibleSamples        63026                       # number cycles where commit BW limit reached (Cycle)
system.cpu2.decode.idleCycles                  147345                       # Number of cycles decode is idle (Cycle)
system.cpu2.decode.blockedCycles               273607                       # Number of cycles decode is blocked (Cycle)
system.cpu2.decode.runCycles                   130200                       # Number of cycles decode is running (Cycle)
system.cpu2.decode.unblockCycles                10094                       # Number of cycles decode is unblocking (Cycle)
system.cpu2.decode.squashCycles                  3932                       # Number of cycles decode is squashing (Cycle)
system.cpu2.decode.branchResolved               23245                       # Number of times decode resolved a branch (Count)
system.cpu2.decode.branchMispred                  625                       # Number of times decode detected a branch misprediction (Count)
system.cpu2.decode.decodedInsts                957417                       # Number of instructions handled by decode (Count)
system.cpu2.decode.squashedInsts                 3225                       # Number of squashed instructions handled by decode (Count)
system.cpu2.fetch.icacheStallCycles            145748                       # Number of cycles fetch is stalled on an Icache miss (Cycle)
system.cpu2.fetch.insts                        584554                       # Number of instructions fetch has processed (Count)
system.cpu2.fetch.branches                      61303                       # Number of branches that fetch encountered (Count)
system.cpu2.fetch.predictedBranches             29339                       # Number of branches that fetch has predicted taken (Count)
system.cpu2.fetch.cycles                       379307                       # Number of cycles fetch has run and was not squashing or blocked (Cycle)
system.cpu2.fetch.squashCycles                   9088                       # Number of cycles fetch has spent squashing (Cycle)
system.cpu2.fetch.miscStallCycles                 642                       # Number of cycles fetch has spent waiting on interrupts, or bad addresses, or out of MSHRs (Cycle)
system.cpu2.fetch.pendingTrapStallCycles         5759                       # Number of stall cycles due to pending traps (Cycle)
system.cpu2.fetch.icacheWaitRetryStallCycles        29178                       # Number of stall cycles due to full MSHR (Cycle)
system.cpu2.fetch.cacheLines                    60654                       # Number of cache lines fetched (Count)
system.cpu2.fetch.icacheSquashes                 1531                       # Number of outstanding Icache misses that were squashed (Count)
system.cpu2.fetch.nisnDist::samples            565178                       # Number of instructions fetched each cycle (Total) (Count)
system.cpu2.fetch.nisnDist::mean             1.759888                       # Number of instructions fetched each cycle (Total) (Count)
system.cpu2.fetch.nisnDist::stdev            3.112951                       # Number of instructions fetched each cycle (Total) (Count)
system.cpu2.fetch.nisnDist::underflows              0      0.00%      0.00% # Number of instructions fetched each cycle (Total) (Count)
system.cpu2.fetch.nisnDist::0                  413830     73.22%     73.22% # Number of instructions fetched each cycle (Total) (Count)
system.cpu2.fetch.nisnDist::1                    6640      1.17%     74.40% # Number of instructions fetched each cycle (Total) (Count)
system.cpu2.fetch.nisnDist::2                    4171      0.74%     75.13% # Number of instructions fetched each cycle (Total) (Count)
system.cpu2.fetch.nisnDist::3                    9215      1.63%     76.76% # Number of instructions fetched each cycle (Total) (Count)
system.cpu2.fetch.nisnDist::4                    9377      1.66%     78.42% # Number of instructions fetched each cycle (Total) (Count)
system.cpu2.fetch.nisnDist::5                   10659      1.89%     80.31% # Number of instructions fetched each cycle (Total) (Count)
system.cpu2.fetch.nisnDist::6                    9125      1.61%     81.92% # Number of instructions fetched each cycle (Total) (Count)
system.cpu2.fetch.nisnDist::7                   10818      1.91%     83.84% # Number of instructions fetched each cycle (Total) (Count)
system.cpu2.fetch.nisnDist::8                   91343     16.16%    100.00% # Number of instructions fetched each cycle (Total) (Count)
system.cpu2.fetch.nisnDist::overflows               0      0.00%    100.00% # Number of instructions fetched each cycle (Total) (Count)
